raw_text,text_tfidf,text_bert,time,label
﻿﻿아 닉스형 힘내봐   5프로만 먹자구,아 닉스형 힘내봐 5프로만 먹자구,아 닉스형 힘내봐 5프로만 먹자구,2025-04-02T09:43:29+09:00,1
﻿﻿닉스 어제 처음 질렀는데 ㅠ,닉스 어제 처음 질렀는데,닉스 어제 처음 질렀는데 ㅠ,2025-04-01T08:04:45+09:00,1
﻿﻿오늘 공매도 막힘,오늘 공매도 막힘,오늘 공매도 막힘,2025-04-01T08:28:03+09:00,0
﻿﻿마치 폭풍전야 같네,마치 폭풍전야 같네,마치 폭풍전야 같네,2025-04-01T19:18:19+09:00,1
﻿﻿주린입니다 공매도 과열이 뭔지 알려주실수있나요 ㅠㅠ??,주린입니다 공매도 과열이 뭔지 알려주실수있나요,주린입니다 공매도 과열이 뭔지 알려주실수있나요 ㅠㅠ??,2025-04-01T11:42:10+09:00,0
﻿﻿100개 더 묻고 떠블로 간다~,100개 더 묻고 떠블로 간다,100개 더 묻고 떠블로 간다,2025-04-01T22:51:57+09:00,2
﻿﻿절벽으로 밀기.직전!!,절벽으로 밀기직전,절벽으로 밀기.직전!!,2025-04-02T15:26:15+09:00,1
﻿﻿0하나가 더붙었으면!..,0하나가 더붙었으면,0하나가 더붙었으면!..,2025-04-02T10:49:09+09:00,1
﻿﻿어질어질하다~~~,어질어질하다,어질어질하다,2025-04-01T09:06:30+09:00,1
﻿﻿가좌,가좌,가좌,2025-04-02T10:47:19+09:00,1
﻿﻿ㅁㅇㅂ,,ㅁㅇㅂ,2025-04-02T12:30:04+09:00,1
﻿﻿18로 오거라,18로 오거라,18로 오거라,2025-04-01T15:11:50+09:00,1
﻿﻿이때가 얼마전인데,이때가 얼마전인데,이때가 얼마전인데,2025-04-02T12:43:20+09:00,1
﻿﻿줄먹,줄먹,줄먹,2025-04-02T11:24:10+09:00,1
﻿﻿배당금을 언제쯤줄까요,배당금을 언제쯤줄까요,배당금을 언제쯤줄까요,2025-04-02T11:14:57+09:00,1
﻿﻿쫌 더 사봅니다 ㅎㅎ,쫌 더 사봅니다,쫌 더 사봅니다 ㅎㅎ,2025-04-01T09:18:40+09:00,1
﻿﻿지지부진 왜이래..,지지부진 왜이래,지지부진 왜이래..,2025-04-02T13:24:17+09:00,0
﻿﻿공매도 과열 ㅋㅋ,공매도 과열,공매도 과열 ㅋㅋ,2025-04-01T11:40:36+09:00,0
﻿﻿곧 진입각이 열릴것이니 기다리고 참아라  꿀을 빨게 될것이로다~!!!,곧 진입각이 열릴것이니 기다리고 참아라 꿀을 빨게 될것이로다,곧 진입각이 열릴것이니 기다리고 참아라 꿀을 빨게 될것이로다!!!,2025-04-01T09:37:16+09:00,1
﻿﻿197000 정도 지지하면 목표가 215000,197000 정도 지지하면 목표가 215000,197000 정도 지지하면 목표가 215000,2025-04-02T09:47:48+09:00,2
﻿﻿관세 이슈 적용이 당장 내일이에요. 다들 지금 진입하시기보단 내일 관세 정책이 어떻게 되는지 확인하고 한 일주일정도는 지켜보고 진입하시는게 나을까싶습니다.,관세 이슈 적용이 당장 내일이에요 다들 지금 진입하시기보단 내일 관세 정책이 어떻게 되는지 확인하고 한 일주일정도는 지켜보고 진입하시는게 나을까싶습니다,관세 이슈 적용이 당장 내일이에요. 다들 지금 진입하시기보단 내일 관세 정책이 어떻게 되는지 확인하고 한 일주일정도는 지켜보고 진입하시는게 나을까싶습니다.,2025-04-01T09:40:23+09:00,1
﻿﻿마감이 몇시인가요?,마감이 몇시인가요,마감이 몇시인가요?,2025-04-01T17:04:49+09:00,1
﻿﻿공매도금지 ㅋㅋㅋ,공매도금지,공매도금지 ㅋㅋㅋ,2025-04-02T00:50:46+09:00,0
﻿﻿공매도가 없어서 그런가 폭주하네,공매도가 없어서 그런가 폭주하네,공매도가 없어서 그런가 폭주하네,2025-04-01T14:34:57+09:00,0
﻿﻿익절성공 ㅎㅎ,익절성공,익절성공 ㅎㅎ,2025-04-01T16:46:59+09:00,2
﻿﻿공매도? 숏스퀴즈나 났으면 좋겠네,공매도 숏스퀴즈나 났으면 좋겠네,공매도? 숏스퀴즈나 났으면 좋겠네,2025-04-01T09:04:44+09:00,0
﻿﻿오늘 생각보다 꽤 오르네,오늘 생각보다 꽤 오르네,오늘 생각보다 꽤 오르네,2025-04-01T11:12:33+09:00,2
﻿﻿내일 풀매수🤪,내일 풀매수,내일 풀매수,2025-04-01T16:38:06+09:00,2
﻿﻿한화오션에 묶여서 이걸 못들어가네 아쉽,한화오션에 묶여서 이걸 못들어가네 아쉽,한화오션에 묶여서 이걸 못들어가네 아쉽,2025-04-01T11:17:35+09:00,1
﻿﻿직장인들 커피만들어주는 기업이래서 잠깐넣어봤어요,직장인들 커피만들어주는 기업이래서 잠깐넣어봤어요,직장인들 커피만들어주는 기업이래서 잠깐넣어봤어요,2025-04-01T11:28:56+09:00,1
﻿﻿닉스는 칩스법 돈 안줘도 투자금이 6000억이랬나? ..별 영향 없을 거 같은디..,닉스는 칩스법 돈 안줘도 투자금이 6000억이랬나 별 영향 없을 거 같은디,닉스는 칩스법 돈 안줘도 투자금이 6000억이랬나? ..별 영향 없을 거 같은디..,2025-04-02T09:48:37+09:00,1
﻿﻿누르냐,누르냐,누르냐,2025-04-01T09:53:22+09:00,1
﻿﻿18때 와주라,18때 와주라,18때 와주라,2025-04-01T10:50:23+09:00,1
﻿﻿더떨어져봐 추가매수하면 그만이야..ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,더떨어져봐 추가매수하면 그만이야,더떨어져봐 추가매수하면 그만이야..ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,2025-04-01T09:24:21+09:00,2
﻿﻿20무조건간다잇,20무조건간다잇,20무조건간다잇,2025-04-02T11:05:20+09:00,2
﻿﻿제발,제발,제발,2025-04-01T09:11:50+09:00,1
﻿﻿공매도 과열 종목이래. 얼마나 공매도를 처발랐으면 공매도 실시 하루만에 과열이래. 진짜 ㅈ같은 종목이네,공매도 과열 종목이래 얼마나 공매도를 처발랐으면 공매도 실시 하루만에 과열이래 진짜 같은 종목이네,공매도 과열 종목이래. 얼마나 공매도를 처발랐으면 공매도 실시 하루만에 과열이래. 진짜 ㅈ같은 종목이네,2025-04-01T09:00:17+09:00,0
﻿﻿외국인 폭격 시작,외국인 폭격 시작,외국인 폭격 시작,2025-04-01T08:51:08+09:00,1
﻿﻿안녕하세요,안녕하세요,안녕하세요,2025-04-02T13:40:42+09:00,1
﻿﻿오늘은 19.8이 기준인가,오늘은 198이 기준인가,오늘은 19.8이 기준인가,2025-04-02T09:31:19+09:00,1
﻿﻿애들아 형와따 형은 하이닉스에서 못먹어 본적이 없따!! 우리 잘해보자,애들아 형와따 형은 하이닉스에서 못먹어 본적이 없따 우리 잘해보자,애들아 형와따 형은 하이닉스에서 못먹어 본적이 없따!! 우리 잘해보자,2025-04-02T09:07:51+09:00,1
﻿﻿탈출,탈출,탈출,2025-04-02T10:53:35+09:00,0
﻿﻿사야할까요? 너무 높으니,사야할까요 너무 높으니,사야할까요? 너무 높으니,2025-04-01T11:10:52+09:00,1
﻿﻿195600 10주 매수,195600 10주 매수,195600 10주 매수,2025-04-01T13:24:44+09:00,2
﻿﻿차트 드릅네 ㅋㅋ,차트 드릅네,차트 드릅네 ㅋㅋ,2025-04-01T09:22:22+09:00,1
﻿﻿내일 떨어질 것 같아 무서워요🫣,내일 떨어질 것 같아 무서워요,내일 떨어질 것 같아 무서워요,2025-04-01T13:46:04+09:00,0
﻿﻿확실히 공매만 아니면 순항할 종목인데 말이죠… ㅠ,확실히 공매만 아니면 순항할 종목인데 말이죠,확실히 공매만 아니면 순항할 종목인데 말이죠 ㅠ,2025-04-01T15:40:46+09:00,0
﻿﻿점심값 감사감사,점심값 감사감사,점심값 감사감사,2025-04-02T09:05:43+09:00,1
﻿﻿닉스 발기함?,닉스 발기함,닉스 발기함?,2025-04-01T14:38:46+09:00,1
﻿﻿오늘 공매도 때문인가요?,오늘 공매도 때문인가요,오늘 공매도 때문인가요?,2025-04-02T12:00:04+09:00,0
﻿﻿평단208000원 줄먹 안하며 존버하니까 계속 마이너스네요 ㅠㅜ,평단208000원 줄먹 안하며 존버하니까 계속 마이너스네요,평단208000원 줄먹 안하며 존버하니까 계속 마이너스네요 ㅠㅜ,2025-04-02T11:13:08+09:00,1
﻿﻿거짓말같이 주식이 오르다니 ㅋㅋ,거짓말같이 주식이 오르다니,거짓말같이 주식이 오르다니 ㅋㅋ,2025-04-01T11:38:16+09:00,1
﻿﻿좀 가보자!!,좀 가보자,좀 가보자!!,2025-04-02T13:50:25+09:00,2
﻿﻿공매 화력무냐ㄷㄷ,공매 화력무냐,공매 화력무냐ㄷㄷ,2025-04-02T09:03:59+09:00,0
﻿﻿미국증시는 막판에 말아올려서 오늘도 상승가능성이 있지만 오늘은 공매도 재개가 있어서 추매는 조금 신중해야할듯 결국엔 잘됬으면 좋겠네요,미국증시는 막판에 말아올려서 오늘도 상승가능성이 있지만 오늘은 공매도 재개가 있어서 추매는 조금 신중해야할듯 결국엔 잘됬으면 좋겠네요,미국증시는 막판에 말아올려서 오늘도 상승가능성이 있지만 오늘은 공매도 재개가 있어서 추매는 조금 신중해야할듯 결국엔 잘됬으면 좋겠네요,2025-04-02T06:37:20+09:00,0
﻿﻿이정도면 기관 어제 안거 같은디? 오늘하는지,이정도면 기관 어제 안거 같은디 오늘하는지,이정도면 기관 어제 안거 같은디? 오늘하는지,2025-04-01T11:29:08+09:00,1
﻿﻿20만 닉스가 이렇게 빨리 돌아온다고?,20만 닉스가 이렇게 빨리 돌아온다고,20만 닉스가 이렇게 빨리 돌아온다고?,2025-04-02T09:06:57+09:00,1
﻿﻿이 노무 내 손꾸락.... 계속 떨어진다길래 예약걸고 회의들어갔더니만..... 이리 오를 줄이야...ㅋ,이 노무 내 손꾸락 계속 떨어진다길래 예약걸고 회의들어갔더니만 이리 오를 줄이야,이 노무 내 손꾸락.... 계속 떨어진다길래 예약걸고 회의들어갔더니만..... 이리 오를 줄이야...ㅋ,2025-04-01T11:26:15+09:00,1
﻿﻿외국인들 잠잠하던데 동시호가때 변동주려나?,외국인들 잠잠하던데 동시호가때 변동주려나,외국인들 잠잠하던데 동시호가때 변동주려나?,2025-04-01T15:15:01+09:00,1
﻿﻿내일 트럼프 보고 사도 안늦어요,내일 트럼프 보고 사도 안늦어요,내일 트럼프 보고 사도 안늦어요,2025-04-01T12:59:25+09:00,1
﻿﻿코스피가 좀 박고 있으니 조심,코스피가 좀 박고 있으니 조심,코스피가 좀 박고 있으니 조심,2025-04-02T09:20:50+09:00,1
﻿﻿형들 하이닉스 작년 12월에는 배당락일이 없는건가요? 밀려서 2월27일로 바뀐건가요?,형들 하이닉스 작년 12월에는 배당락일이 없는건가요 밀려서 2월27일로 바뀐건가요,형들 하이닉스 작년 12월에는 배당락일이 없는건가요? 밀려서 2월27일로 바뀐건가요?,2025-04-01T11:39:27+09:00,1
﻿﻿이게 맞아?,이게 맞아,이게 맞아?,2025-04-01T11:36:10+09:00,1
﻿﻿딥시크가 연 ‘저가 HBM’ 시장… 삼성·SK하이닉스에 기회?,딥시크가 연 저가 HBM 시장 삼성SK하이닉스에 기회,딥시크가 연 저가 HBM 시장 삼성SK하이닉스에 기회?,2025-04-01T08:32:53+09:00,2
﻿﻿오늘 야식비 챙기자,오늘 야식비 챙기자,오늘 야식비 챙기자,2025-04-01T11:33:24+09:00,1
﻿﻿생각보다 관세가 적어도 관세는 관세라서 안떨어질수가 없음..,생각보다 관세가 적어도 관세는 관세라서 안떨어질수가 없음,생각보다 관세가 적어도 관세는 관세라서 안떨어질수가 없음..,2025-04-02T11:14:14+09:00,0
﻿﻿미친듯이 떨어지겠구만ㅠㅠ,미친듯이 떨어지겠구만,미친듯이 떨어지겠구만ㅠㅠ,2025-04-02T09:24:16+09:00,2
﻿﻿저녁밥 꺼억,저녁밥 꺼억,저녁밥 꺼억,2025-04-01T13:40:41+09:00,2
﻿﻿내일 부터 공매도 하면 다시 가격 떨어지는거 아니에요?,내일 부터 공매도 하면 다시 가격 떨어지는거 아니에요,내일 부터 공매도 하면 다시 가격 떨어지는거 아니에요?,2025-04-01T13:10:09+09:00,0
﻿﻿상법 거부권 행사했네요,상법 거부권 행사했네요,상법 거부권 행사했네요,2025-04-01T13:15:12+09:00,1
﻿﻿일단 줄먹 ㅋㅋㅋ 어제보니까 더 떨어지더라고,일단 줄먹 어제보니까 더 떨어지더라고,일단 줄먹 ㅋㅋㅋ 어제보니까 더 떨어지더라고,2025-04-01T08:49:45+09:00,1
﻿﻿공매도 우량주,공매도 우량주,공매도 우량주,2025-04-02T14:07:25+09:00,0
﻿﻿이거는 내랑더럽게안맞네 한번을안주네,이거는 내랑더럽게안맞네 한번을안주네,이거는 내랑더럽게안맞네 한번을안주네,2025-04-01T09:30:06+09:00,1
